Sentence_id,Type
INDSKL29127,Skill
GERRES12555,Skill
INDREQ46478,Responsibility
HONSSK13418,Requirement
UAEREQ35911,Requirement
HONSSK6126,Requirement
PHESSK16857,Responsibility
COGREQ5824,Requirement
GERREQ9829,Requirement
COGRES6184,Responsibility
INDRES3061,Responsibility
GERRES13604,SoftSkill
UAEREQ17836,Responsibility
GERSSK45893,Responsibility
PHESKL16012,Skill
INDEDU1529,Education
HONEDU17955,Education
COGRES35820,Responsibility
HONSSK38663,SoftSkill
GERRES42815,Responsibility
COGREQ16479,Requirement
UAEREQ3935,Requirement
UAESSK50380,SoftSkill
COGREQ2910,Responsibility
HONREQ6918,Requirement
COGEXP35088,Experience
GERSKL15205,Skill
COGRES46705,Responsibility
PHERES4574,Responsibility
HONREQ13704,Responsibility
HONSSK16287,SoftSkill
GERREQ41067,Responsibility
UAEEDU1670,Education
HONRES50187,Responsibility
HONREQ23586,Responsibility
UAEREQ49157,Requirement
INDRES16349,Responsibility
COGSSK21545,Skill
GERSSK40986,SoftSkill
HONREQ21096,Requirement
HONRES11009,Responsibility
PHESSK40301,SoftSkill
INDRES22952,Responsibility
GERREQ2261,Requirement
PHERES10281,Responsibility
GERREQ19324,Skill
HONSKL6360,Requirement
UAERES14335,Responsibility
PHESSK6966,SoftSkill
PHERES4238,Responsibility
PHEREQ7916,Requirement
PHEREQ50293,Responsibility
INDREQ1616,SoftSkill
COGSSK13828,Education
INDSSK9741,Responsibility
INDREQ21305,Requirement
COGREQ19121,Skill
COGRES1039,Responsibility
INDRES16126,Responsibility
HONRES10831,Requirement
INDREQ5240,Requirement
PHESSK6084,Responsibility
HONSSK28239,Requirement
PHESSK44840,Skill
COGRES42567,Responsibility
HONSSK24704,Responsibility
UAESSK30592,SoftSkill
UAEEXP50096,Experience
INDRES36273,Responsibility
COGRES50044,Responsibility
HONREQ18236,Responsibility
HONRES20347,Responsibility
PHERES17382,Responsibility
HONEXP46163,Experience
COGREQ12165,SoftSkill
COGEXP8170,Experience
PHEEXP10153,Experience
GERSSK290,SoftSkill
UAEEXP33080,Experience
GERRES14805,Responsibility
UAERES16980,Responsibility
INDRES19780,Responsibility
PHEREQ13077,Education
INDRES2728,Responsibility
GERRES9267,Responsibility
UAESSK29338,SoftSkill
INDRES19011,Requirement
INDRES53033,Requirement
COGSSK18215,SoftSkill
GERRES21587,Responsibility
UAESKL46219,Skill
GERSKL19333,Skill
UAESSK12526,Skill
PHEREQ29378,Requirement
PHERES42475,Responsibility
UAEEDU12094,Education
INDRES45625,Responsibility
UAERES35893,Responsibility
HONEXP41495,Experience
PHESSK13056,Responsibility
HONREQ12891,Requirement
GERRES40979,Responsibility
UAEEDU6559,Education
INDREQ20946,SoftSkill
PHESSK33664,Requirement
GERRES1616,Responsibility
PHEEXP52082,Experience
GERSKL303,Requirement
UAESKL4472,Responsibility
PHEEXP30276,Experience
INDSSK757,SoftSkill
INDREQ46831,Requirement
INDSKL52053,Responsibility
UAESKL16539,Skill
HONRES21192,Responsibility
UAEREQ4089,Responsibility
INDSKL20688,Responsibility
GERRES7792,Responsibility
PHEREQ41609,Responsibility
PHEEDU11367,Education
PHESSK36531,SoftSkill
UAESSK8507,Responsibility
COGEDU8948,Education
HONEXP805,Experience
COGEDU11188,Education
PHESKL3404,Skill
PHEEXP26637,Experience
INDSSK42850,Skill
GERREQ51817,Education
PHESKL34584,SoftSkill
COGREQ5510,Requirement
INDEXP13197,Requirement
UAEEXP11926,Experience
GEREXP17967,Responsibility
HONSSK7989,SoftSkill
GERSKL9933,Skill
HONSSK40511,Requirement
UAERES5353,Responsibility
COGRES1143,Responsibility
PHEREQ43404,Responsibility
PHERES33202,Responsibility
INDSSK19782,Responsibility
INDSKL10930,Skill
GEREDU7131,Requirement
INDSKL42877,Responsibility
COGSSK11915,Responsibility
GEREXP46561,Experience
INDEDU19252,Experience
GEREXP4923,Experience
GERRES7504,Responsibility
UAERES8381,Responsibility
HONEXP10838,Experience
INDSSK35283,Skill
GERSSK21240,SoftSkill
HONRES23593,Responsibility
HONEXP1014,Experience
PHERES38826,Responsibility
HONREQ50156,Responsibility
COGEXP17204,Experience
PHERES17396,Responsibility
PHESKL35815,Skill
UAERES16889,Responsibility
COGEXP9255,Experience
INDREQ47197,Responsibility
UAEREQ13735,SoftSkill
GERRES20848,Requirement
COGRES28,SoftSkill
GEREXP18852,Experience
INDEXP38371,Requirement
COGRES34666,Requirement
COGEDU19891,Education
UAERES9554,Responsibility
GERREQ10895,Responsibility
UAEEXP22600,Responsibility
GERRES3729,Responsibility
HONEDU17720,SoftSkill
INDRES48816,Responsibility
GERRES7818,Responsibility
HONEXP38823,Experience
INDRES663,Responsibility
HONSKL20744,Skill
GERSKL28464,Responsibility
INDREQ7466,Requirement
UAEEXP52893,Education
COGRES18024,Responsibility
COGSSK9186,Responsibility
PHEREQ14159,Skill
INDRES3353,Responsibility
HONEXP36369,Experience
HONREQ47590,Requirement
HONRES19666,Responsibility
GERREQ15965,Requirement
HONSKL8532,Requirement
INDREQ11521,Skill
PHEREQ37393,Requirement
GERREQ52954,Requirement
GERSSK3482,SoftSkill
INDREQ13082,Skill
UAERES6658,Responsibility
HONREQ16525,Requirement
INDREQ8857,Responsibility
INDRES14052,Skill
INDSSK1504,Responsibility
PHERES4045,Responsibility
HONREQ16949,Education
GEREDU6145,SoftSkill
COGRES23806,Responsibility
COGREQ37462,Requirement
UAEREQ26442,Responsibility
GERSKL31514,Requirement
HONRES22522,Responsibility
INDEDU8847,Responsibility
HONSSK26339,SoftSkill
HONREQ14151,Requirement
INDSKL13081,Responsibility
UAESSK49887,SoftSkill
COGEDU35238,Education
GERREQ10464,Responsibility
GEREXP8140,Requirement
UAEREQ5992,Requirement
GERSSK3645,Requirement
COGRES15795,Responsibility
GERSKL19284,Requirement
INDRES959,Requirement
COGREQ20126,Responsibility
INDREQ20654,SoftSkill
UAESKL7087,Skill
UAESSK2152,SoftSkill
COGREQ19917,Requirement
GERREQ29095,Requirement
GERRES51387,Responsibility
PHEEXP44142,Experience
INDREQ44362,Requirement
PHEEXP19047,Experience
HONRES50918,Responsibility
HONSKL9314,SoftSkill
UAESSK19887,SoftSkill
COGSKL16831,Requirement
GEREDU9018,Requirement
GEREXP4650,Experience
COGEDU23844,Education
HONRES40847,Responsibility
GERREQ15735,Experience
COGRES20468,Responsibility
PHERES26963,Responsibility
UAEEXP44435,Experience
GERRES12765,Responsibility
INDSSK22189,SoftSkill
UAESSK19649,Requirement
GERSSK21481,Responsibility
HONREQ17791,Requirement
UAEEXP15356,Experience
INDEXP35534,Experience
HONEDU50434,Education
PHESKL602,Requirement
GERSSK33778,Responsibility
HONSSK24347,Responsibility
PHEEXP1855,Experience
UAEREQ11152,Requirement
COGSSK17555,SoftSkill
GERREQ35641,Requirement
UAEEXP581,Experience
HONSSK17602,SoftSkill
HONEXP10763,Experience
PHEREQ4259,Requirement
COGREQ16491,Requirement
GERREQ49679,Requirement
INDRES42754,Responsibility
GERREQ14582,Requirement
PHERES28268,Responsibility
GERSSK35127,SoftSkill
COGSSK32834,SoftSkill
UAEEDU22734,Education
UAEREQ13306,Requirement
HONEDU40211,Education
UAERES31006,Responsibility
INDEDU49981,Education
INDEDU16508,Education
UAERES3937,Responsibility
GERREQ21645,Responsibility
GERRES2622,Responsibility
INDRES21892,Responsibility
INDEXP48165,Experience
HONEDU17023,Education
COGREQ2590,Education
PHEEXP14850,Experience
GERSKL37007,Responsibility
PHEREQ45491,Requirement
UAESSK10280,Requirement
COGRES52371,Responsibility
COGREQ20760,Requirement
HONRES21026,Responsibility
PHESSK15529,SoftSkill
GERRES52338,Responsibility
INDEDU3232,Education
COGEXP24097,Experience
UAESSK43680,Responsibility
HONRES7992,Responsibility
UAEEXP7528,Experience
GERSKL22422,Skill
UAERES32562,Responsibility
INDEXP7557,Experience
GERSKL44395,Requirement
HONSSK50951,SoftSkill
GERSKL22002,SoftSkill
GERREQ13390,Requirement
GEREXP18903,Experience
PHERES14619,Responsibility
GERRES25510,Responsibility
HONSKL8019,Responsibility
PHEREQ38294,Requirement
UAEREQ22628,Skill
PHEEXP51321,Experience
GERRES29819,Responsibility
COGRES6721,Responsibility
GERREQ19680,Responsibility
COGEXP45981,Responsibility
UAEEDU19251,Education
PHEEDU19334,Education
GERSSK9282,SoftSkill
HONSSK26065,Requirement
COGSKL29177,Skill
PHEREQ465,Responsibility
INDRES748,Responsibility
PHESKL26827,Skill
UAERES42046,Responsibility
COGEXP1749,Experience
COGREQ41699,Requirement
HONSSK7514,Requirement
INDEXP20230,Experience
HONRES42041,Responsibility
UAEREQ11059,Requirement
COGREQ10883,Requirement
INDEDU42775,SoftSkill
HONRES1782,Responsibility
COGEDU23927,Education
HONSSK34235,Requirement
PHERES23642,Responsibility
INDRES51641,Responsibility
INDEDU19724,Requirement
PHEEXP10194,Experience
GERSSK1150,SoftSkill
INDREQ30098,Requirement
HONRES19307,Responsibility
UAERES32172,Responsibility
UAESKL37109,Responsibility
INDREQ19761,Requirement
COGREQ28493,Responsibility
HONEDU23236,Education
INDREQ39193,Skill
PHEREQ1287,Responsibility
COGREQ11939,Requirement
GERRES36385,Responsibility
GERRES44596,Responsibility
HONREQ20200,Education
INDSSK50601,SoftSkill
HONEXP7954,Responsibility
GERSKL17203,Requirement
GERRES26229,Responsibility
INDSSK17308,SoftSkill
HONEXP41967,Experience
COGSSK18419,Responsibility
UAEEDU21965,Education
HONEXP27069,Experience
INDSKL25439,Skill
HONREQ24724,Requirement
GERREQ49236,Responsibility
HONSKL2081,Skill
HONSSK2851,Responsibility
PHERES7277,Responsibility
GERSSK9804,Responsibility
INDRES9608,Responsibility
HONREQ7781,Requirement
UAEREQ7883,Responsibility
UAESSK8721,Requirement
INDEXP8871,Experience
INDRES9132,Responsibility
GERRES16450,Responsibility
PHEEDU10952,Education
HONREQ4753,Responsibility
INDRES4112,Responsibility
INDEDU31547,Education
INDRES16764,SoftSkill
COGRES26210,Responsibility
HONRES45137,Responsibility
GERREQ37553,Requirement
HONEXP5817,Experience
GERSSK1147,SoftSkill
UAESKL902,Requirement
PHESSK20137,Responsibility
HONEXP13807,Experience
UAEREQ50453,Requirement
UAESSK7300,SoftSkill
PHEREQ41288,Requirement
UAEEXP8108,Experience
HONSSK13199,Responsibility
UAEREQ12879,Requirement
GERRES568,Responsibility
GERSKL4890,Responsibility
UAEREQ14128,Responsibility
PHESKL24207,Skill
COGSKL37429,Requirement
GERSSK34980,Requirement
COGREQ44099,Responsibility
INDREQ17661,Requirement
GERREQ25400,SoftSkill
UAEREQ19139,Requirement
HONEXP45805,Requirement
UAESKL45705,Requirement
UAEEDU49854,Education
HONREQ3781,Responsibility
GERSSK12191,Requirement
COGSKL25489,Education
GERSKL19077,Skill
PHESKL5647,Requirement
COGREQ11961,Responsibility
HONEXP30702,Experience
COGREQ280,Requirement
PHEEXP253,Experience
GERRES39480,Responsibility
UAERES31058,Responsibility
UAEREQ18754,Requirement
UAEREQ30597,Requirement
COGSKL48551,Skill
UAEEXP7018,Experience
GERREQ20587,Education
UAEEDU1173,Education
GEREXP34960,Education
HONEXP15294,Skill
GERRES24112,Responsibility
COGREQ21229,Requirement
COGREQ36112,Requirement
GERSKL43342,Skill
HONSSK39786,SoftSkill
GERREQ7809,Requirement
UAEREQ24829,Skill
UAESSK1028,SoftSkill
COGSSK1285,Requirement
INDRES11820,Responsibility
PHESSK22480,SoftSkill
UAEEXP20553,Experience
HONSKL3405,SoftSkill
UAESSK1214,SoftSkill
GERRES33393,Responsibility
COGEXP43438,Experience
HONRES25783,Responsibility
PHESKL51412,Requirement
INDREQ31273,SoftSkill
UAERES27150,Responsibility
UAESSK214,Requirement
UAESKL51445,Requirement
UAEREQ47133,Responsibility
UAESKL3555,Requirement
GERREQ51180,Requirement
COGEDU8902,Education
INDEDU10388,Education
HONREQ53052,Education
COGREQ49696,SoftSkill
HONRES31539,Responsibility
GERSSK16578,SoftSkill
INDEDU7949,SoftSkill
GEREXP8269,Experience
GERRES11754,Education
PHEREQ19035,Requirement
INDREQ45395,Skill
COGSKL546,Responsibility
GERREQ45334,SoftSkill
GERREQ38068,SoftSkill
PHESKL49166,Skill
COGREQ20871,Responsibility
GERREQ35,Requirement
COGSSK1925,SoftSkill
GERSKL17059,Requirement
INDREQ38041,Requirement
COGRES14284,Responsibility
UAESSK11852,SoftSkill
UAERES46406,Responsibility
GERSSK26207,Requirement
GERRES8695,Responsibility
COGREQ43467,Skill
UAEEXP35976,Experience
GEREDU47836,Education
UAERES8956,Responsibility
PHERES51675,Responsibility
COGEDU17233,Education
HONSSK48018,Skill
GEREDU13158,Responsibility
INDSSK50507,Skill
PHEEXP22414,Experience
COGEDU4946,Education
COGREQ19871,Requirement
GERRES14783,Responsibility
GERRES15682,Responsibility
GEREDU27845,Education
PHEEXP7011,Experience
INDREQ49416,Requirement
HONEXP31674,Responsibility
UAERES13108,Responsibility
PHESKL2734,Requirement
GERSSK7893,SoftSkill
PHESKL31564,Responsibility
HONSKL34867,Responsibility
COGEDU28234,Education
PHEEXP9371,Experience
INDEXP28827,Experience
UAEREQ35456,Requirement
UAEREQ16167,Requirement
PHEEXP10267,Experience
INDREQ21741,Requirement
GERREQ15319,Requirement
GEREXP50622,Experience
INDEXP7948,Experience
INDEXP7115,Experience
UAERES17313,Responsibility
HONRES18370,Responsibility
INDEXP21687,Experience
INDRES22815,Responsibility
COGRES34327,Responsibility
GEREXP52841,Experience
PHEREQ17916,Responsibility
UAERES17842,Responsibility
HONEXP8895,Experience
INDSSK7004,SoftSkill
GERRES14708,Requirement
PHESSK35602,Responsibility
HONSKL29603,Requirement
PHESKL33724,Responsibility
INDSSK41211,Responsibility
COGEXP6841,Experience
INDRES48957,Responsibility
COGRES46734,Responsibility
UAEREQ9968,Responsibility
INDEDU3875,Education
HONREQ11678,SoftSkill
COGSKL19125,Responsibility
PHERES4801,Responsibility
INDREQ43683,Responsibility
GERSKL11370,Skill
UAERES28643,Responsibility
HONREQ20723,Responsibility
INDSSK38359,Requirement
UAERES26059,Skill
COGRES585,Responsibility
GERRES20772,Responsibility
INDRES10097,Responsibility
INDEXP4838,Experience
GERRES8297,Responsibility
PHEREQ3787,Requirement
INDRES40503,Responsibility
GEREDU934,Education
INDEDU14348,Responsibility
UAESSK40056,Responsibility
UAESSK22730,SoftSkill
GEREXP984,Experience
PHEEDU50438,Education
INDRES45953,Responsibility
COGEDU16757,Requirement
HONSSK1007,SoftSkill
INDEXP9053,Experience
PHERES4781,Responsibility
UAERES4240,Responsibility
UAEREQ30676,Requirement
HONSSK11524,SoftSkill
GEREXP22308,Experience
INDRES36630,Responsibility
HONSKL6981,Requirement
COGEXP3753,Experience
PHEREQ40656,Requirement
INDREQ15942,Requirement
COGREQ22104,Skill
INDEDU40941,Education
COGEXP17737,Experience
UAESKL43812,Responsibility
PHESSK48630,Skill
INDEXP21299,Experience
INDSSK35588,SoftSkill
PHERES17337,Responsibility
PHERES9753,Responsibility
PHEEDU14239,Education
INDEDU5979,Education
PHEEXP22555,Experience
INDRES34321,Responsibility
COGSSK7188,Requirement
HONSSK18436,SoftSkill
GERSKL7878,Skill
GERREQ48017,Responsibility
INDRES6357,Responsibility
HONREQ40471,SoftSkill
COGEXP13361,Skill
COGSSK29345,SoftSkill
UAEREQ29691,Requirement
GERSKL2259,Responsibility
COGEDU6150,Education
GEREXP12409,Skill
GERREQ5713,Responsibility
PHESSK17628,Responsibility
COGEDU40033,Requirement
PHEREQ12698,Requirement
GERRES25128,Responsibility
INDSKL52529,Skill
UAEEXP50298,Experience
GERRES13951,Responsibility
HONSSK50845,Skill
COGSSK11503,Responsibility
COGREQ20641,Requirement
COGREQ9944,Responsibility
HONRES42973,Requirement
GERSSK21309,Requirement
HONSSK8150,SoftSkill
HONSKL48516,Requirement
INDREQ23325,Skill
UAEREQ21425,Responsibility
PHEEXP45968,Experience
PHESSK7628,SoftSkill
HONEXP17645,Experience
PHERES46001,Responsibility
UAEEXP29622,Experience
COGREQ35139,Skill
COGRES47619,Responsibility
COGEXP44816,Experience
PHEEDU26903,Skill
PHEEXP10916,Experience
PHESSK33540,SoftSkill
INDSKL1493,Requirement
GERRES14216,Responsibility
GERSSK16460,SoftSkill
COGRES18428,Responsibility
COGRES31882,Responsibility
HONRES11884,Responsibility
GERRES1071,SoftSkill
GERSSK20467,Responsibility
HONREQ21576,Responsibility
GERREQ20395,Requirement
INDEXP31918,Experience
GERRES20070,Responsibility
PHESSK40338,SoftSkill
UAESKL9689,Responsibility
UAEEXP10784,Responsibility
INDREQ46454,Requirement
HONSSK25246,Responsibility
COGSSK20890,SoftSkill
PHEEXP11382,Experience
HONRES52801,SoftSkill
UAERES10898,Responsibility
HONSKL21171,Responsibility
HONSSK46270,SoftSkill
PHERES32370,Requirement
HONREQ21716,Requirement
UAESKL14698,Requirement
GERSSK47838,SoftSkill
HONRES22092,Responsibility
COGRES24507,Responsibility
INDRES4273,Responsibility
UAEREQ18545,Skill
PHERES50542,Responsibility
HONRES13192,Responsibility
COGSKL8832,Requirement
COGRES27250,Responsibility
GEREXP14944,Experience
HONSKL7540,Requirement
GERSSK40481,SoftSkill
UAEREQ638,Requirement
INDSSK41990,SoftSkill
UAESSK25529,SoftSkill
HONRES14323,Responsibility
PHEEXP14354,Experience
UAEREQ28017,Requirement
PHESSK48497,SoftSkill
HONEDU8611,Education
COGRES11657,Responsibility
INDEXP12237,Experience
PHERES44577,Responsibility
GEREXP24981,Requirement
GERSKL19857,Requirement
HONRES3402,Responsibility
HONSKL3081,Responsibility
PHERES13231,Requirement
HONSKL4505,Skill
PHESSK43561,Responsibility
HONSSK21795,Requirement
COGEXP5093,Experience
HONRES8447,Responsibility
UAEEXP10334,Experience
UAESKL5021,Requirement
UAESSK40114,Requirement
HONEXP6139,Experience
UAERES6275,Responsibility
UAEEXP4144,Experience
PHESSK33654,SoftSkill
PHEEXP15757,Experience
GERSSK16276,Requirement
INDRES17948,Responsibility
HONREQ14157,Responsibility
UAESSK32901,SoftSkill
COGEXP1035,Experience
PHESKL27228,Responsibility
PHEEXP12214,Responsibility
HONSKL3014,Responsibility
INDEXP37054,Responsibility
INDEDU1419,SoftSkill
INDREQ14659,Requirement
COGREQ18424,Responsibility
HONSSK2655,SoftSkill
UAESSK7703,Requirement
INDREQ41763,Requirement
HONREQ46075,Responsibility
UAEREQ18429,Requirement
UAEEXP44032,Experience
INDRES44012,Requirement
PHESKL45930,Requirement
PHEEXP51848,Experience
HONEXP16545,Experience
UAEEDU23140,Education
HONSKL2235,Responsibility
GEREDU53214,Education
HONSKL9011,Responsibility
UAERES5588,Responsibility
HONEXP13979,Experience
UAESSK10142,SoftSkill
PHERES11816,Responsibility
UAESKL21702,Requirement
HONREQ44222,Requirement
INDEDU20381,Requirement
PHERES7014,Responsibility
GERREQ12363,Skill
PHEREQ45266,Requirement
GERSKL1855,Responsibility
HONSKL11941,Responsibility
HONEXP15794,Experience
GERSSK45568,SoftSkill
GEREDU10888,Education
HONRES17771,Responsibility
HONEXP23106,Experience
INDEXP50619,Experience
GERRES16895,Responsibility
PHEEDU21355,Requirement
UAESSK37855,Responsibility
COGREQ20728,Education
GERRES1649,Responsibility
UAEEDU32590,Education
HONEXP51696,Experience
UAESSK9256,SoftSkill
INDSSK10102,Responsibility
HONRES4929,Requirement
UAEEXP19382,Experience
UAEEXP4600,Experience
HONREQ38288,Requirement
HONEDU21500,Responsibility
GEREXP1372,Experience
INDREQ50490,Responsibility
PHESSK5881,SoftSkill
COGEXP51653,Experience
COGSSK17566,SoftSkill
PHEREQ39449,Requirement
GERRES51946,Responsibility
INDEXP18629,Experience
PHEREQ16816,Education
COGREQ31442,Requirement
UAEEXP10802,Experience
COGREQ10915,Requirement
INDREQ16376,Responsibility
INDSSK3550,Responsibility
INDREQ50594,Education
UAEREQ45783,Requirement
COGSKL5208,Requirement
COGEXP47027,Experience
GERRES15635,Responsibility
HONREQ13634,Responsibility
PHERES52738,Responsibility
INDEXP18965,Experience
HONRES48870,Responsibility
PHEEXP12437,Responsibility
PHEREQ10805,Requirement
PHESSK5819,SoftSkill
PHERES22066,Responsibility
PHESSK2155,SoftSkill
UAEREQ5341,Responsibility
HONEDU11310,Skill
UAESKL32612,Requirement
UAESSK16191,SoftSkill
PHEEDU18646,Education
COGSSK8637,SoftSkill
PHEEXP43874,Experience
UAERES5237,Responsibility
HONRES14212,Responsibility
UAESSK4261,Skill
INDEDU297,Skill
PHERES50388,Responsibility
COGREQ43867,Requirement
PHEEDU158,Education
COGREQ7327,Education
UAESSK6282,SoftSkill
HONSSK49708,Responsibility
PHEEDU34111,Education
INDSSK14551,SoftSkill
COGREQ13491,Education
PHESSK7715,Responsibility
HONEXP9885,Experience
COGREQ42288,Experience
GEREXP4895,Experience
COGEXP23718,Experience
UAEEXP9586,Experience
HONEDU6603,Education
HONSSK37886,Responsibility
HONEDU21668,Education
GEREXP41756,Experience
HONREQ9038,Requirement
INDRES11320,Responsibility
INDEXP18366,Experience
COGRES16837,Responsibility
GEREXP13460,Experience
GEREXP11934,Responsibility
INDREQ48474,Responsibility
UAESSK52066,SoftSkill
COGEDU15292,Education
COGRES10738,Responsibility
PHESSK15661,Requirement
GERSSK11806,SoftSkill
GERREQ12349,Requirement
PHEEDU16808,Education
GERREQ33046,Responsibility
PHEEDU51119,Responsibility
UAESKL20056,SoftSkill
UAEEXP8923,Experience
HONEDU8799,Education
GERRES19971,Responsibility
PHERES38793,Responsibility
GEREDU10565,Education
HONSSK15847,SoftSkill
PHEREQ12780,Responsibility
COGRES8690,Responsibility
GERSSK49602,SoftSkill
PHESSK49695,SoftSkill
COGREQ10230,Requirement
PHEREQ42878,Responsibility
INDEXP45199,Experience
UAESSK35985,Requirement
COGRES39230,Responsibility
GEREXP2819,Experience
INDEDU21425,Education
UAESKL27583,Skill
INDREQ4412,Responsibility
GERRES21632,Responsibility
COGEXP40790,Experience
UAERES22742,Responsibility
HONSSK4133,SoftSkill
COGREQ31651,Requirement
GERSSK20078,SoftSkill
HONRES13953,Responsibility
INDSSK32281,SoftSkill
UAESSK35781,SoftSkill
UAESKL45421,Skill
PHERES16873,Responsibility
COGRES10791,Responsibility
UAERES39094,Skill
GERSSK15826,Skill
INDREQ14861,Responsibility
PHEREQ7856,Requirement
GERRES14146,Responsibility
INDREQ2586,Requirement
UAESSK19721,SoftSkill
HONEXP52079,Experience
GERREQ18221,Requirement
INDRES50345,Responsibility
PHEREQ7058,Skill
HONREQ2992,Requirement
HONSSK17261,SoftSkill
GERSKL7560,Skill
UAESSK24310,Requirement
GERSKL10121,SoftSkill
INDRES7632,Responsibility
PHESSK1882,SoftSkill
UAESSK6860,Skill
INDRES38252,Responsibility
HONEXP6812,Experience
INDSKL3514,Responsibility
PHERES18236,Responsibility
UAESSK14149,SoftSkill
INDSKL17485,Requirement
UAEEXP4138,Responsibility
GERSSK3540,SoftSkill
GERREQ49414,Skill
COGSKL13755,Skill
UAEREQ26219,Requirement
COGREQ19065,Requirement
UAEEXP32521,Experience
UAERES30060,Responsibility
PHESSK22367,SoftSkill
HONEDU50957,Education
PHERES592,Responsibility
PHESKL14318,Requirement
HONRES3967,Responsibility
GEREXP20061,Experience
UAEREQ9813,Requirement
UAERES16441,Responsibility
UAERES30419,Responsibility
HONEDU3586,SoftSkill
UAERES42861,Responsibility
COGSSK21069,SoftSkill
INDREQ44328,Responsibility
COGRES625,Responsibility
HONSSK34787,Responsibility
INDSKL14838,Responsibility
INDSKL36739,Requirement
UAEREQ24628,Requirement
HONSSK32975,Responsibility
UAEEDU34923,Requirement
HONRES50598,Responsibility
COGREQ48721,Requirement
HONEDU9317,Education
HONEXP21116,SoftSkill
HONEXP1851,Experience
INDSSK8899,Requirement
PHEEXP37469,Experience
HONEDU40088,Education
UAERES17777,Responsibility
HONSSK38976,SoftSkill
COGREQ18505,Skill
GERSKL39113,Responsibility
PHESSK13206,Requirement
GERREQ14204,Responsibility
COGRES9729,Responsibility
UAEREQ16064,Responsibility
UAEEDU45957,Education
UAERES15537,Responsibility
GERREQ7464,Skill
PHEEDU29331,Education
HONSKL15130,Requirement
GERRES51098,Responsibility
GEREDU11027,Education
PHERES24195,Responsibility
INDRES4127,Responsibility
INDSKL15888,Skill
